apartment_id,city,floor_number,area_sqm,number_of_rooms,number_of_bathrooms,finishing_status,price_egp,price_per_sqm,is_fake
APT01502,الإسكندرية,1,80,2,1,Semi-Finished,1173000,14662,0
APT02587,الساحل الشمالي,18,100,2,1,Unfinished,3499000,34990,0
APT02654,شرم الشيخ,1,100,2,2,Semi-Finished,1989000,19890,0
APT01056,العين السخنة,3,160,3,3,Semi-Finished,4443000,27768,0
APT00706,القاهرة,8,90,3,2,Unfinished,1810000,20111,0
APT00590,الجيزة,7,100,2,2,Semi-Finished,1804000,18040,0
APT02469,شرم الشيخ,5,130,4,3,Unfinished,3289000,25300,0
APT02414,القاهرة,8,130,3,2,Semi-Finished,2499000,19223,0
APT01601,شرم الشيخ,0,90,2,1,Unfinished,1847000,20522,0
APT02465,شرم الشيخ,3,130,4,3,Semi-Finished,3210000,24692,0
APT00916,الغردقة,8,150,3,2,Unfinished,3077000,20513,0
APT00795,الإسكندرية,8,60,1,2,Fully Finished,1011000,16850,0
APT03022,الإسكندرية,8,130,4,4,Fully Finished,2542000,19553,0
APT03544,القاهرة الجديدة,8,80,2,1,Fully Finished,2489000,31112,0
APT01074,الإسكندرية,4,200,6,2,Fully Finished,3566000,17830,0
APT03352,شرم الشيخ,12,90,2,1,Fully Finished,3535000,39277,0
APT01745,الجيزة,2,80,2,1,Fully Finished,1571000,19637,0
APT01085,القاهرة,3,150,3,3,Semi-Finished,3550000,23666,0
APT00927,القاهرة,5,70,1,1,Fully Finished,1879000,26842,0
APT03050,العين السخنة,7,110,3,3,Unfinished,2510000,22818,0
APT01118,العين السخنة,15,110,3,2,Semi-Finished,2729000,24809,0
APT00643,الإسكندرية,9,120,4,4,Semi-Finished,1769000,14741,0
APT04768,القاهرة,12,100,3,2,Super Lux,4383000,43830,0
APT00502,القاهرة,18,80,3,3,Super Lux,2397000,29962,0
APT04067,الساحل الشمالي,20,120,4,3,Fully Finished,6392000,53266,0
APT00334,العاصمة الإدارية,20,130,4,3,Semi-Finished,3984000,30646,0
APT04685,الإسكندرية,6,70,2,1,Super Lux,2255000,32214,0
APT00487,الساحل الشمالي,10,70,1,1,Fully Finished,3412000,48742,0
APT01963,القاهرة,9,100,2,2,Semi-Finished,2681000,26810,0
APT00394,القاهرة الجديدة,12,130,4,4,Semi-Finished,4046000,31123,0
APT04843,القاهرة الجديدة,6,160,3,3,Super Lux,7669000,47931,0
APT04867,الساحل الشمالي,7,140,4,4,Fully Finished,5813000,41521,0
APT01756,الساحل الشمالي,1,130,3,3,Unfinished,3430000,26384,0
APT02516,الجيزة,4,100,2,2,Semi-Finished,2200000,22000,0
APT03586,القاهرة الجديدة,9,80,3,2,Semi-Finished,1800000,22500,0
APT04316,العين السخنة,7,120,3,3,Semi-Finished,3100000,25833,0
APT04967,الإسكندرية,7,80,2,2,Super Lux,2580000,32250,0
APT02100,العاصمة الإدارية,0,70,2,2,Super Lux,3846000,54942,0
APT03600,الساحل الشمالي,7,130,3,3,Semi-Finished,5067000,38976,0
APT04122,القاهرة الجديدة,2,130,3,3,Super Lux,5815000,44730,0
